index,unixTimestamp,TP9,AF7,AF8,TP10
1,1746312966312.4062,-47.8515625,-40.52734375,-24.4140625,-53.7109375
2,1746312966316.3125,-40.52734375,-31.25,-32.2265625,-57.12890625
3,1746312966320.2188,-30.2734375,-27.83203125,-28.80859375,-22.94921875
4,1746312966324.125,-31.25,-35.64453125,-28.3203125,-25.390625
5,1746312966328.0312,-44.921875,-40.0390625,-33.69140625,-63.4765625
6,1746312966331.9375,-40.52734375,-39.0625,-29.296875,-50.29296875
7,1746312966335.8438,-22.94921875,-29.78515625,-29.296875,-44.921875
8,1746312966339.75,-37.109375,-30.2734375,-35.64453125,-53.7109375
9,1746312966343.6562,-36.62109375,-33.69140625,-34.1796875,-47.36328125
10,1746312966347.5625,-36.62109375,-24.4140625,-34.1796875,-42.48046875
11,1746312966351.4688,-38.0859375,-26.3671875,-41.9921875,-45.8984375
0,1746312966355.375,-28.80859375,-33.203125,-31.25,-41.015625
1,1746312966359.2812,-41.015625,-40.52734375,-27.83203125,-46.38671875
2,1746312966363.1875,-45.41015625,-42.48046875,-33.69140625,-54.6875
3,1746312966367.0938,-33.69140625,-33.69140625,-33.203125,-26.85546875
4,1746312966371,-30.76171875,-32.2265625,-42.48046875,-37.109375
5,1746312966374.9062,-29.296875,-27.83203125,-36.1328125,-46.875
6,1746312966378.8125,-21.484375,-31.73828125,-27.34375,-37.109375
7,1746312966382.7188,-32.71484375,-36.1328125,-35.64453125,-83.984375
8,1746312966386.625,-46.875,-35.15625,-34.66796875,-74.70703125
9,1746312966390.5312,-44.921875,-38.0859375,-26.3671875,-38.0859375
10,1746312966394.4375,-42.96875,-41.50390625,-29.296875,-57.6171875
11,1746312966398.3438,-43.45703125,-43.45703125,-33.203125,-57.6171875
0,1746312966402.25,-43.9453125,-41.015625,-32.2265625,-26.85546875
1,1746312966406.1562,-31.25,-38.57421875,-35.64453125,-36.1328125
2,1746312966410.0625,-27.83203125,-36.1328125,-40.52734375,-37.59765625
3,1746312966413.9688,-47.36328125,-38.57421875,-35.15625,-41.9921875
4,1746312966417.875,-39.55078125,-41.015625,-25.390625,-54.6875
5,1746312966421.7812,-22.4609375,-36.1328125,-32.2265625,-46.38671875
6,1746312966425.6875,-24.4140625,-32.71484375,-34.1796875,-43.9453125
7,1746312966429.5938,-35.15625,-37.109375,-32.71484375,-32.2265625
8,1746312966433.5,-34.1796875,-41.9921875,-34.66796875,-23.92578125
9,1746312966437.4062,-32.71484375,-31.25,-24.90234375,-36.62109375
10,1746312966441.3125,-36.1328125,-20.99609375,-24.90234375,-37.109375
11,1746312966445.2188,-50.78125,-20.99609375,-30.76171875,-36.1328125
0,1746312966449.125,-52.734375,-27.34375,-30.2734375,-29.78515625
1,1746312966453.0312,-33.203125,-33.203125,-31.73828125,-22.94921875
2,1746312966456.9375,-31.25,-33.69140625,-34.1796875,-17.08984375
3,1746312966460.8438,-38.57421875,-34.66796875,-33.203125,-28.80859375
4,1746312966464.75,-29.78515625,-38.0859375,-26.3671875,-40.0390625
5,1746312966468.6562,-31.25,-39.55078125,-27.83203125,-24.90234375
6,1746312966472.5625,-27.34375,-33.203125,-29.296875,-22.4609375
7,1746312966476.4688,-26.85546875,-37.59765625,-23.4375,-37.59765625
8,1746312966480.375,-37.59765625,-46.38671875,-23.92578125,-60.546875
9,1746312966484.2812,-39.55078125,-42.48046875,-31.25,-58.10546875
10,1746312966488.1875,-34.66796875,-41.9921875,-29.78515625,-13.671875
11,1746312966492.0938,-30.2734375,-40.52734375,-29.78515625,-22.94921875
0,1746312966496,-29.296875,-41.015625,-34.1796875,-48.828125
1,1746312966499.9062,-39.0625,-42.48046875,-34.66796875,-46.38671875
2,1746312966503.8125,-41.9921875,-38.0859375,-34.1796875,-37.109375
3,1746312966507.7188,-32.71484375,-37.109375,-34.1796875,-20.5078125
4,1746312966511.625,-30.76171875,-36.1328125,-36.62109375,-37.59765625
5,1746312966515.5312,-31.73828125,-35.15625,-39.55078125,-49.8046875
6,1746312966519.4375,-41.50390625,-39.55078125,-31.25,-18.06640625
7,1746312966523.3438,-51.7578125,-43.9453125,-32.2265625,-18.5546875
8,1746312966527.25,-34.1796875,-48.828125,-43.9453125,-41.50390625
9,1746312966531.1562,-38.57421875,-45.8984375,-42.96875,-53.22265625
10,1746312966535.0625,-39.0625,-41.015625,-36.1328125,-45.8984375
11,1746312966538.9688,-30.76171875,-33.203125,-36.1328125,-39.0625
0,1746312966542.875,-43.9453125,-27.34375,-33.203125,-42.96875
1,1746312966546.7812,-36.62109375,-31.25,-34.66796875,-45.8984375
2,1746312966550.6875,-36.1328125,-32.71484375,-31.25,-32.71484375
3,1746312966554.5938,-38.0859375,-44.921875,-27.83203125,-28.3203125
4,1746312966558.5,-29.78515625,-44.43359375,-31.73828125,-49.8046875
5,1746312966562.4062,-35.15625,-31.25,-39.55078125,-46.875
6,1746312966566.3125,-30.2734375,-31.73828125,-39.55078125,-39.0625
7,1746312966570.2188,-22.94921875,-35.15625,-33.69140625,-31.25
8,1746312966574.125,-41.50390625,-33.69140625,-34.66796875,-39.55078125
9,1746312966578.0312,-44.921875,-31.25,-27.83203125,-59.5703125
10,1746312966581.9375,-35.15625,-31.25,-31.73828125,-37.59765625
11,1746312966585.8438,-29.296875,-36.1328125,-30.76171875,-13.18359375
0,1746312966589.75,-22.4609375,-35.15625,-33.203125,-40.52734375
1,1746312966593.6562,-36.1328125,-27.34375,-40.0390625,-55.17578125
2,1746312966597.5625,-41.9921875,-29.296875,-30.2734375,-58.59375
3,1746312966601.4688,-27.83203125,-32.2265625,-39.0625,-56.640625
4,1746312966605.375,-19.53125,-28.80859375,-45.41015625,-41.9921875
5,1746312966609.2812,-29.78515625,-34.1796875,-23.92578125,-43.9453125
6,1746312966613.1875,-36.62109375,-33.69140625,-18.06640625,-48.828125
7,1746312966617.0938,-31.25,-22.4609375,-25.390625,-41.9921875
8,1746312966621,-17.578125,-23.92578125,-27.83203125,-19.53125
9,1746312966624.9062,-23.4375,-34.1796875,-23.4375,-18.06640625
10,1746312966628.8125,-46.875,-31.73828125,-22.94921875,-44.43359375
11,1746312966632.7188,-41.9921875,-26.85546875,-26.85546875,-42.48046875
0,1746312966636.625,-19.53125,-27.83203125,-28.3203125,-45.8984375
1,1746312966640.5312,-25.87890625,-33.69140625,-25.87890625,-52.24609375
2,1746312966644.4375,-56.640625,-36.62109375,-27.34375,-38.0859375
3,1746312966648.3438,-41.9921875,-35.15625,-34.66796875,-37.109375
4,1746312966652.25,-21.484375,-35.64453125,-30.76171875,-46.38671875
5,1746312966656.1562,-21.97265625,-30.76171875,-29.78515625,-39.55078125
6,1746312966660.0625,-25.390625,-27.34375,-32.2265625,-20.5078125
7,1746312966663.9688,-38.0859375,-29.296875,-27.34375,-38.0859375
8,1746312966667.875,-42.96875,-34.1796875,-22.94921875,-43.45703125
9,1746312966671.7812,-37.109375,-36.62109375,-30.76171875,-33.69140625
10,1746312966675.6875,-26.3671875,-35.64453125,-39.0625,-54.19921875
11,1746312966679.5938,-36.1328125,-37.109375,-34.1796875,-38.0859375
0,1746312966683.5,-49.31640625,-41.015625,-23.4375,-25.87890625
1,1746312966687.4062,-29.296875,-42.96875,-27.83203125,-48.33984375
2,1746312966691.3125,-27.83203125,-39.0625,-35.15625,-50.78125
3,1746312966695.2188,-41.50390625,-39.0625,-30.2734375,-56.640625
4,1746312966699.125,-39.0625,-42.48046875,-30.76171875,-55.17578125
5,1746312966703.0312,-24.90234375,-41.015625,-30.76171875,-28.3203125
6,1746312966706.9375,-45.41015625,-45.8984375,-33.203125,-32.2265625
7,1746312966710.8438,-42.96875,-40.0390625,-41.50390625,-63.96484375
8,1746312966714.75,-21.97265625,-28.80859375,-36.62109375,-45.41015625
9,1746312966718.6562,-40.0390625,-30.76171875,-25.390625,-26.85546875
10,1746312966722.5625,-35.15625,-28.3203125,-35.15625,-37.109375
11,1746312966726.4688,-34.1796875,-33.69140625,-43.45703125,-26.3671875
0,1746312966730.375,-48.828125,-39.55078125,-31.73828125,-26.85546875
